Language,Korean,English,ChineseSimplified,ChineseTraditional
skill,Skill,Skill,技能,技能
quest,Quest,Quest,任务,任務
option,Option,Option,选项,選項
lv,Lv.{0},Lv.{0},Lv.{0},Lv.{0}
grade,등급,Grade,-,-
level,레벨,Level,-,-
equipment_set,장비세트,-,-,-
world,WORLD,WORLD,WORLD,WORLD
popup_exit_title,EXIT,EXIT,EXIT,EXIT
popup_exit_desc,정말로 떠나시는건가요?,Are you sure to exit the game?,您确定退出游戏么？,您確定退出遊戲麼？
max,Max,Max,Max,Max
dps,DPS,DPS,DPS,DPS
finish,마무리,Finish,结束,結束
no,아니요,No,不,不
yes,네,Yes,Yes,Yes
system_message_not_loaded_ads,이런! 광고를 못 찾았어요. 잠시 후 다시 시도해주세요.,We can't find any ads.Please try again later.,无法加载广告.请稍后再试,無法加載廣告.請稍後再試
popup_option_title,OPTION,OPTION,选项,選項
popup_option_language,언어,language,语言,語言
popup_option_bgm,배경음,bgm,背景音乐,背景音樂
popup_option_sfx,효과음,sound,音效,音效
popup_option_effect,이펙트,effect,特效,特效
show_speed_0,Very Slow,very slow,非常慢,非常慢
show_speed_1,Slow,slow,慢,慢
show_speed_2,Normal,normal,正常,正常
show_speed_3,Fast,Fast,快速,快速
show_speed_4,Very Fast,Very Fast,非常快,非常快
power,Power,Power,功率,功率
count,Count,Count,计数,計數
speed,Speed,Speed,速度,速度
system_message_to_be_updated,공사중 입니다!,Coming soon!,敬请期待！,敬請期待！
new_projectile,New Weapon!,New Weapon!,新武器！,新武器！
costume_idx_0_desc_key,설명_코스튬_0,-,-,-
costume_idx_1_desc_key,설명_코스튬_1,-,-,-
costume_idx_2_desc_key,설명_코스튬_2,-,-,-
costume_idx_3_desc_key,설명_코스튬_3,-,-,-
costume_idx_4_name_key,명칭_코스튬_4,-,-,-
costume_idx_4_desc_key,설명_코스튬_4,-,-,-
costume_idx_5_name_key,명칭_코스튬_5,-,-,-
costume_idx_5_desc_key,설명_코스튬_5,-,-,-
costume_idx_6_name_key,명칭_코스튬_6,-,-,-
costume_idx_6_desc_key,설명_코스튬_6,-,-,-
costume_idx_7_name_key,명칭_코스튬_7,-,-,-
costume_idx_7_desc_key,설명_코스튬_7,-,-,-
costume_idx_8_name_key,명칭_코스튬_8,-,-,-
costume_idx_8_desc_key,설명_코스튬_8,-,-,-
time_day,d,d,d,d
time_hour,h,h,h,h
time_min,m,m,m,m
time_sec,s,s,s,s
buff_idx_1000_name_key,손가락 강화 훈련,Finger strengthening training,强化手指训练,強化手指訓練
buff_idx_1001_name_key,동료 강화 단련,Partner strengthening training,同伴强化训练,同伴強化訓練
buff_idx_1002_name_key,동료 강화 단련,Partner strengthening training,同伴强化训练,同伴強化訓練
buff_idx_1003_name_key,손가락 강화 훈련,Finger strengthening training,手指强化训练,手指強化訓練
buff_idx_1004_name_key,효율증대! 보물상자,Efficiency increased! Treasure box,提高效率！宝箱,提高效率！寶箱
buff_idx_1005_name_key,효율증대! 보물상자,Efficiency increased! Treasure box,提高效率！宝箱,提高效率！寶箱
buff_idx_1006_name_key,손가락 강화 훈련,Finger strengthening training,强化手指训练,強化手指訓練
buff_idx_1007_name_key,재태크의 달인,Master of Finance,理财达人,理財達人
buff_idx_1100_name_key,손가락 강화 훈련,Finger strengthening training,强化手指训练,強化手指訓練
buff_idx_1101_name_key,약점을 노려라!,Aim at weakness!,瞄准弱点！,瞄準弱點！
buff_idx_1102_name_key,약점을 노려라!,Aim at weakness!,瞄准弱点！,瞄準弱點！
buff_idx_1103_name_key,손가락 강화 훈련,Finger strengthening training,强化同伴训练,強化同伴訓練
buff_idx_1104_name_key,너-무 아픈 한방,Bitter blow,沉痛一击,沉痛一擊
buff_idx_1105_name_key,너-무 아픈 한방,Bitter blow,沉痛一击,沉痛一擊
buff_idx_1106_name_key,손가락 강화 훈련,Finger strengthening training,强化手指训练,強化手指訓練
buff_idx_1107_name_key,스쿼트의 달인,Squat Master,深蹲达人,深蹲達人
buff_idx_1200_name_key,더-많은 보물상자,More-more treasure chests,更多宝箱,更多寶箱
buff_idx_1201_name_key,효율증대! 보물상자,Improve efficiency! Treasure chest,提高效率！宝箱,提高效率！寶箱
buff_idx_1202_name_key,효율증대! 보물상자,Improve efficiency! Treasure chest,提高效率！宝箱,提高效率！寶箱
buff_idx_1203_name_key,더-많은 보물상자,More-more treasure chests,更多宝箱,更多寶箱
buff_idx_1204_name_key,효율증대! 보물상자,Increased efficiency! treasure box,提高效率！宝箱,提高效率！寶箱
buff_idx_1205_name_key,효율증대! 보물상자,Improve efficiency! Treasure chest,提高效率！宝箱,提高效率！寶箱
buff_idx_1206_name_key,더-많은 보물상자,More treasure chests,更多宝箱,更多寶箱
buff_idx_1207_name_key,재태크의 달인,Financial manager,理财达人,理財達人
buff_idx_1300_name_key,주먹왕이 되어라!,Become a Champ!,成为拳王！,成為拳王！
buff_idx_1301_name_key,울어라 화살촉아!,Go!Go!Go! arrows!,箭如雨下！,箭如雨下！
buff_idx_1302_name_key,보라색 맛 났어!,It tasted purple!,尝起来棒极了！,嘗起來棒極了！
buff_idx_1303_name_key,제품 설명서 완독,Read through the product manual,通读产品说明书,通讀產品說明書
buff_idx_1304_name_key,가스불 조절하기,Adjust the gas fire,调节灶火,調節灶火
buff_idx_1305_name_key,정수기 필터교체,Replace water dispenser filter,更换饮水机滤芯,更換飲水機濾芯
buff_idx_1306_name_key,에어컨 파워모드,Air conditioner power mode,空调强力模式,空調強力模式
buff_idx_1307_name_key,실내온도 조절하기,Adjust room temperature,调整室温,調整室溫
buff_idx_1000_desc_key,탭 데미지 증가 {0},click damage increased by {0},点击伤害增加{0},點擊傷害增加{0}
buff_idx_1001_desc_key,용병 데미지 증가 {0},mercenary damage increased by {0},佣兵伤害增加{0},傭兵傷害增加{0}
buff_idx_1002_desc_key,용병 데미지 증가 {0},mercenary damage increased by {0},佣兵伤害增加{0},傭兵傷害增加{0}
buff_idx_1003_desc_key,탭 데미지 증가 {0},Tap Damage increased by {0},点击伤害增加{0},點擊傷害增加{0}
buff_idx_1004_desc_key,보물상자 골드량 증가 {0},Treasure Chest Gold Amount increased by {0},增加宝箱金币数量{0},增加寶箱金幣數量{0}
buff_idx_1005_desc_key,보물상자 골드량 증가 {0},Treasure Chest Gold Amount increased by {0},增加宝箱金币数量{0},增加寶箱金幣數量{0}
buff_idx_1006_desc_key,탭 데미지 증가 {0},Tap Damage increased by {0},增加点击伤害值{0},增加點擊傷害值{0}
buff_idx_1007_desc_key,모든 골드량 증가 {0},All coins increased by {0},所有金币量增加{0},所有金幣量增加{0}
buff_idx_1100_desc_key,크리티컬 확률 증가 {0},critical strike rate increased by {0},提高暴击率{0},提高暴擊率{0}
buff_idx_1101_desc_key,크리티컬 데미지 증가 {0},Critical damage increased by {0},暴击伤害增加{0},暴擊傷害增加{0}
buff_idx_1102_desc_key,크리티컬 데미지 증가 {0},Critical damage increased by {0},暴击伤害增加{0},暴擊傷害增加{0}
buff_idx_1103_desc_key,크리티컬 확률 증가 {0},Increase critical strike rate {0},提高暴击率{0},提高暴擊率{0}
buff_idx_1104_desc_key,크리티컬 데미지 증가 {0},Critical damage increased by {0},暴击伤害增加{0},暴擊傷害增加{0}
buff_idx_1105_desc_key,크리티컬 데미지 증가 {0},Critical damage increased by {0},暴击伤害增加{0},暴擊傷害增加{0}
buff_idx_1106_desc_key,크리티컬 확률 증가 {0},Increase critical strike rate {0},提高暴击率{0},提高暴擊率{0}
buff_idx_1107_desc_key,모든 데미지 증가 {0},Increase all damage {0},增加所有伤害{0},增加所有傷害{0}
buff_idx_1200_desc_key,보물상자 확률 증가 {0},Increase Treasure Chest Chance by {0},宝箱机率增加{0},寶箱幾率增加{0}
buff_idx_1201_desc_key,보물상자 골드량 증가 {0},Treasure Chest Gold Amount Increased by {0},增加宝箱金币量{0},增加寶箱金幣量{0}
buff_idx_1202_desc_key,보물상자 골드량 증가 {0},Treasure Chest Gold Amount Increased by {0},增加宝箱金币量{0},增加寶箱金幣量{0}
buff_idx_1203_desc_key,보물상자 확률 증가 {0},Treasure Chest Chance Increased by {0},增加宝箱出现机率{0},增加寶箱出現機率{0}
buff_idx_1204_desc_key,보물상자 골드량 증가 {0},Treasure Chest Gold Amount Increased by {0},宝箱金币量增加{0},寶箱金幣量增加{0}
buff_idx_1205_desc_key,보물상자 골드량 증가 {0},Treasure Chest Gold Amount Increased by {0},宝箱金币量增加{0},寶箱金幣量增加{0}
buff_idx_1206_desc_key,보물상자 확률 증가 {0},Treasure Chest Chance Increased by {0},宝箱机率增加{0},寶箱機率增加{0}
buff_idx_1207_desc_key,모든 골드량 증가 {0},All Gold Amount increased by {0},所有金币量增加{0},所有金幣量增加{0}
buff_idx_1300_desc_key,근접 공격력 증가 {0},Melee damage increased by {0},近战伤害提高{0},近戰傷害提高{0}
buff_idx_1301_desc_key,원거리 공격력 증가 {0},long-range attack power increased by {0},提高远程攻击力{0},提高遠程攻擊力{0}
buff_idx_1302_desc_key,마법 공격력 증가 {0},magic attack power increased by {0},增加魔法攻击力{0},增加魔法攻擊力{0}
buff_idx_1303_desc_key,기계 공격력 증가 {0},mechanical damage increased by {0},增加机械伤害{0},增加機械傷害{0}
buff_idx_1304_desc_key,불속성 피해량 증가 {0},fire damage increased by {0},增加火属性伤害{0},增加火屬性傷害{0}
buff_idx_1305_desc_key,물속성 피해량 증가 {0},water damage increased by {0},增加水属性伤害{0},增加水屬性傷害{0}
